iter	RMSE
0	0.4049152306
1	0.4039844069
2	0.4028643641
3	0.4018486249
4	0.400576294
5	0.3993038344
6	0.3977994051
7	0.3967420356
8	0.3953336736
9	0.393823683
10	0.3929162728
11	0.3918491325
12	0.3906271303
13	0.3896938636
14	0.3887878556
15	0.3878765976
16	0.3867077933
17	0.3857899512
18	0.3846787633
19	0.3841291038
20	0.3829235588
21	0.3821766954
22	0.381153791
23	0.3805991704
24	0.3796174589
25	0.3785791693
26	0.3777569543
27	0.3769116921
28	0.3758606982
29	0.3744825896
30	0.3737457927
31	0.3733721302
32	0.3729899856
33	0.3718063359
34	0.3707207931
35	0.3699336858
36	0.3691031144
37	0.3689735064
38	0.3684455752
39	0.3678066654
40	0.3668566425
41	0.3659158422
42	0.3652665376
43	0.3648755285
44	0.3641076792
45	0.3635235776
46	0.362580028
47	0.3620430671
48	0.3611748716
49	0.3609117931
50	0.3602494919
51	0.3596848083
52	0.3590262327
53	0.3577619801
54	0.3571392294
55	0.3567575628
56	0.3559938245
57	0.3554779455
58	0.3543496209
59	0.3536444316
60	0.3534321569
61	0.3530490873
62	0.3524052048
63	0.3517144587
64	0.3509248632
65	0.3502165592
66	0.3494733672
67	0.3485355855
68	0.3478980269
69	0.3472764252
70	0.3465992717
71	0.3461943609
72	0.3454429668
73	0.3447976701
74	0.3443477512
75	0.3436047297
76	0.3431152786
77	0.3428985413
78	0.3428343076
79	0.3423973501
80	0.3417421864
81	0.3413557953
82	0.3407510544
83	0.3398803865
84	0.3391382864
85	0.3384271779
86	0.3379894312
87	0.337931014
88	0.3371453165
89	0.3365791074
90	0.3359671859
91	0.3355288561
92	0.3350104224
93	0.3346562175
94	0.3342416152
95	0.3335177812
96	0.3332280662
97	0.3327750604
98	0.3320651797
99	0.3315110343
100	0.330939125
101	0.3305535481
102	0.3301002651
103	0.3296615831
104	0.3291941782
105	0.3286831653
106	0.3286336895
107	0.328524747
108	0.3280661153
109	0.3274931188
110	0.3271803902
111	0.3265492149
112	0.3263666319
113	0.325963541
114	0.325842588
115	0.325249864
116	0.324985915
117	0.3245670348
118	0.3241787269
119	0.3239587544
120	0.3236477157
121	0.3229838564
122	0.3225801642
123	0.3222052628
124	0.3217543758
125	0.3211604275
126	0.3209097506
127	0.3206045512
128	0.3204048889
129	0.3201800461
130	0.3199743958
131	0.319822446
132	0.3194291125
133	0.3189263921
134	0.3183968043
135	0.318248856
136	0.3180685038
137	0.317823755
138	0.3174884994
139	0.3173775826
140	0.3170737836
141	0.3166355189
142	0.3163980341
143	0.3160765115
144	0.3159382163
145	0.3156182526
146	0.315042531
147	0.3149391919
148	0.3144028124
149	0.314107089
150	0.3135961541
151	0.3134883462
152	0.3130657742
153	0.3128061307
154	0.312477458
155	0.3121651141
156	0.3117673508
157	0.3114332578
158	0.3111167599
159	0.3107635794
160	0.3105638391
161	0.3102977993
162	0.309755035
163	0.3094849386
164	0.3092726684
165	0.3090934742
166	0.3088220867
167	0.3085056754
168	0.3084357068
169	0.3081093347
170	0.3079303811
171	0.3074030891
172	0.307051524
173	0.3069518019
174	0.3066713834
175	0.3066185954
176	0.3063590212
177	0.3060839863
178	0.3059589089
