iter	Passed	Remaining
0	3	1680
1	6	1710
2	7	1302
3	10	1376
4	13	1426
5	16	1421
6	20	1472
7	22	1466
8	25	1467
9	28	1465
10	31	1447
11	34	1437
12	36	1425
13	39	1411
14	41	1401
15	44	1400
16	45	1351
17	48	1346
18	51	1347
19	52	1305
20	54	1297
21	57	1297
22	59	1292
23	60	1253
24	63	1252
25	65	1248
26	68	1250
27	71	1252
28	74	1251
29	76	1254
30	79	1253
31	82	1252
32	84	1251
33	87	1250
34	90	1251
35	93	1256
36	96	1259
37	99	1257
38	100	1236
39	103	1236
40	106	1236
41	108	1231
42	111	1228
43	113	1226
44	116	1223
45	117	1206
46	119	1202
47	120	1179
48	122	1179
49	123	1156
50	125	1155
51	128	1155
52	131	1154
53	133	1153
54	136	1152
55	139	1150
56	141	1147
57	142	1129
58	144	1128
59	146	1120
60	146	1102
61	147	1087
62	150	1087
63	151	1080
64	154	1080
65	157	1080
66	160	1080
67	163	1081
68	165	1080
69	168	1079
70	170	1078
71	171	1067
72	174	1067
73	177	1067
74	178	1055
75	180	1054
76	183	1054
77	184	1041
78	184	1028
79	185	1017
80	188	1016
81	188	1005
82	191	1005
83	194	1005
84	196	1004
85	198	997
86	201	998
87	201	987
88	204	989
89	207	990
90	208	981
91	209	971
92	212	971
93	214	971
94	217	970
95	220	969
96	223	970
97	226	971
98	229	973
99	233	976
100	236	977
101	239	979
102	242	980
103	246	982
104	249	983
105	252	984
106	253	974
107	253	965
108	256	966
109	259	965
110	262	965
111	265	965
112	268	964
113	271	964
114	272	956
115	274	954
116	277	954
117	280	954
118	283	954
119	285	947
120	285	939
121	288	938
122	291	938
123	294	937
124	297	936
125	300	935
126	300	928
127	303	927
128	306	926
129	309	925
130	311	923
131	313	920
132	314	913
133	318	914
134	321	915
135	322	908
136	325	908
137	328	907
138	331	905
139	331	898
140	334	897
141	336	893
142	339	892
143	341	890
144	343	884
145	346	884
146	348	882
147	349	875
148	351	871
149	353	869
150	356	868
151	358	866
152	361	865
153	364	863
154	365	859
155	368	857
156	370	853
157	373	852
158	374	847
159	375	841
160	377	840
161	378	834
162	381	833
163	384	832
164	387	830
165	387	824
166	390	823
167	393	821
168	394	816
169	396	815
170	398	810
171	401	809
172	404	808
173	406	806
174	409	804
175	410	799
176	412	797
177	415	795
178	416	790
179	418	788
180	421	787
181	424	786
182	425	780
183	428	779
184	430	777
185	433	776
186	436	774
187	438	772
188	441	770
189	444	769
190	447	767
191	449	766
192	452	764
193	455	762
194	457	760
195	460	759
196	463	757
197	466	756
198	469	754
199	471	752
200	472	747
201	475	746
202	478	744
203	479	740
204	482	738
205	485	737
206	487	735
207	490	733
208	491	728
209	492	724
210	494	722
211	495	718
212	498	716
213	501	714
214	502	710
215	505	708
216	506	704
217	508	702
218	511	700
219	514	698
220	516	696
221	519	695
222	520	691
223	523	689
224	526	687
225	527	684
226	530	682
227	530	677
228	533	675
229	536	674
230	539	672
231	541	670
232	544	668
233	547	666
234	549	664
235	550	660
236	552	657
237	552	652
238	555	650
239	558	649
240	561	647
241	563	645
242	566	643
243	569	641
244	571	639
245	574	637
246	577	635
247	580	633
248	582	631
249	583	628
250	586	626
251	589	624
252	592	622
253	595	621
254	598	619
255	600	617
256	603	615
257	606	613
258	609	611
259	611	609
260	614	607
261	617	606
262	618	601
263	621	600
264	622	596
265	625	594
266	628	592
267	630	590
268	633	588
269	636	586
270	639	585
271	641	582
272	644	580
273	647	578
274	650	576
275	652	574
276	655	572
277	658	570
278	660	568
279	663	565
280	664	562
281	667	560
282	670	558
283	672	556
284	675	554
285	678	552
286	679	548
287	679	545
288	682	543
289	685	541
290	686	538
291	689	536
292	690	532
293	692	530
294	694	527
295	697	525
296	699	523
297	702	521
298	705	519
299	707	516
300	710	514
301	713	512
302	716	510
303	719	508
304	721	506
305	724	504
306	725	500
307	727	498
308	730	496
309	733	494
310	736	492
311	738	490
312	739	486
313	741	484
314	744	482
315	746	479
316	747	476
317	747	472
318	750	470
319	750	466
320	753	464
321	756	462
322	758	460
323	759	457
324	762	455
325	764	452
326	767	450
327	770	448
328	773	446
329	776	444
330	778	442
331	781	440
332	782	437
333	784	434
334	787	432
335	790	430
336	792	427
337	795	425
338	797	423
339	800	421
340	803	419
341	806	417
342	809	415
343	812	413
344	815	411
345	819	409
346	822	407
347	825	405
348	828	403
349	829	400
350	832	398
351	835	396
352	838	394
353	839	391
354	841	388
355	844	386
356	845	383
357	846	380
358	849	378
359	851	376
360	854	374
361	857	371
362	860	369
363	863	367
364	866	365
365	869	363
366	869	360
367	872	358
368	875	355
369	877	353
370	882	351
371	884	349
372	890	348
373	893	346
374	896	344
375	899	341
376	900	339
377	902	336
378	905	334
379	908	332
380	910	329
381	913	327
382	914	324
383	915	321
384	918	319
385	921	317
386	923	315
387	926	312
388	929	310
389	930	307
390	933	305
391	934	302
392	937	300
393	940	298
394	941	295
395	943	293
396	946	290
397	949	288
398	951	286
399	954	284
400	957	281
401	960	279
402	963	277
403	965	274
404	967	272
405	970	270
406	973	267
407	975	265
408	978	263
409	981	260
410	984	258
411	987	256
412	990	254
413	991	251
414	994	249
415	997	246
416	999	244
417	1002	242
418	1005	240
419	1008	237
420	1011	235
421	1014	233
422	1017	230
423	1020	228
424	1021	225
425	1024	223
426	1027	221
427	1028	218
428	1030	216
429	1033	213
430	1036	211
431	1039	209
432	1041	206
433	1042	204
434	1045	201
435	1047	199
436	1050	197
437	1050	194
438	1053	191
439	1053	189
440	1056	186
441	1058	184
442	1061	182
443	1061	179
444	1064	177
445	1065	174
446	1066	171
447	1067	169
448	1069	166
449	1072	164
450	1072	161
451	1075	159
452	1076	156
453	1077	154
454	1080	151
455	1083	149
456	1085	147
457	1088	144
458	1091	142
459	1093	140
460	1096	137
461	1099	135
462	1101	133
463	1104	130
464	1107	128
465	1108	126
466	1111	123
467	1113	121
468	1116	119
469	1119	116
470	1121	114
471	1124	111
472	1125	109
473	1125	106
474	1128	104
475	1129	102
476	1131	99
477	1134	97
478	1137	94
479	1139	92
480	1142	90
481	1145	87
482	1146	85
483	1149	83
484	1151	80
485	1154	78
486	1157	76
487	1159	73
488	1162	71
489	1165	68
490	1167	66
491	1170	64
492	1171	61
493	1174	59
494	1177	57
495	1180	54
496	1183	52
497	1184	49
498	1187	47
499	1189	45
500	1192	42
501	1193	40
502	1195	38
503	1198	35
504	1201	33
505	1204	30
506	1207	28
507	1210	26
508	1213	23
509	1217	21
510	1219	19
511	1222	16
512	1223	14
513	1226	11
514	1229	9
515	1231	7
516	1232	4
517	1235	2
518	1238	0
